episode_length,episode_return,episodes,steps,steps_per_second
92,-56.7411,1,1380092,86.8353873
92,15.339714,2,1380184,130.3213244
92,55.264805,3,1380276,135.7088735
92,-22.27515,4,1380368,135.9690088
92,51.224606,5,1380460,134.2752211
92,59.646442,6,1380552,133.3545184
92,-20.961143,7,1380644,136.9245477
92,55.076416,8,1380736,137.4758335
92,-100.348885,9,1380828,138.388145
92,26.414614,10,1380920,139.0029092
92,59.94722,11,1381012,17.39393537
92,57.833473,12,1381104,106.6115041
92,-108.56348,13,1381196,108.315818
92,8.6417465,14,1381288,107.2355781
92,52.91495,15,1381380,109.4040519
92,27.84743,16,1381472,108.7466521
92,-158.855,17,1381564,110.2406384
92,58.968014,18,1381656,108.4395224
92,61.836353,19,1381748,107.8315231
92,58.84354,20,1381840,106.3950079
92,61.43951,21,1381932,108.7583911
92,65.02622,22,1382024,107.4686801
92,-27.634274,23,1382116,109.6421698
92,59.14971,24,1382208,108.6045759
92,-137.00285,25,1382300,109.1737918
92,-20.350426,26,1382392,108.1105828
92,50.231987,27,1382484,108.4986435
92,52.77908,28,1382576,107.7042406
92,20.204151,29,1382668,107.4870008
92,64.2686,30,1382760,107.7406881
92,64.36898,31,1382852,107.4537767
92,-71.21803,32,1382944,107.2664608
92,63.378014,33,1383036,107.3091176
92,60.04714,34,1383128,107.8410761
92,-63.84032,35,1383220,107.7664749
92,-163.62227,36,1383312,106.7616417
92,-38.6379,37,1383404,107.3945033
92,63.04503,38,1383496,107.3642041
92,53.7671,39,1383588,109.3055952
92,59.91909,40,1383680,107.5863764
92,55.428062,41,1383772,107.5176689
92,75.46188,42,1383864,105.784421
92,56.695637,43,1383956,107.189347
92,59.96863,44,1384048,105.1935046
92,58.056805,45,1384140,108.4671388
92,60.86073,46,1384232,106.8786225
92,10.11554,47,1384324,108.1936391
92,57.817482,48,1384416,107.347717
92,-55.60199,49,1384508,106.6364879
92,64.5634,50,1384600,106.8617515
92,58.952522,51,1384692,108.1687695
92,-24.233631,52,1384784,105.0865917
92,-35.436584,53,1384876,108.2310258
92,-159.24539,54,1384968,105.3659334
92,61.347137,55,1385060,108.4501589
92,55.77057,56,1385152,104.6351366
92,-82.24575,57,1385244,108.93518
92,57.33822,58,1385336,106.4395286
92,63.407066,59,1385428,107.9290918
92,57.33094,60,1385520,105.2680022
92,60.133667,61,1385612,107.7845359
92,14.713711,62,1385704,107.764007
92,53.431236,63,1385796,107.5982862
92,60.16157,64,1385888,106.5370348
92,55.387196,65,1385980,108.3480258
92,63.61405,66,1386072,105.320725
92,57.75902,67,1386164,107.491013
92,15.678417,68,1386256,105.6168358
92,60.369034,69,1386348,107.3367583
92,56.95553,70,1386440,106.8020355
92,-130.3845,71,1386532,108.6283009
92,53.97178,72,1386624,101.3365407
92,60.00818,73,1386716,97.50870292
92,54.201138,74,1386808,91.82420246
92,52.795708,75,1386900,100.4655623
92,25.282284,76,1386992,107.0699622
92,-226.99928,77,1387084,107.500386
92,65.16068,78,1387176,106.8858165
92,-140.25214,79,1387268,106.4429051
92,57.171814,80,1387360,107.0614067
92,55.992714,81,1387452,109.2451587
92,59.092007,82,1387544,107.8233878
92,60.59558,83,1387636,106.7555572
92,55.031906,84,1387728,107.4351084
92,8.959978,85,1387820,109.694065
92,58.234676,86,1387912,106.9483828
92,59.99355,87,1388004,108.3312656
92,-52.053585,88,1388096,105.8576963
92,63.106964,89,1388188,93.37623116
92,57.297066,90,1388280,105.5919519
92,52.075382,91,1388372,106.5571283
92,55.582172,92,1388464,106.5750217
92,56.32187,93,1388556,108.6940878
92,55.067398,94,1388648,106.5850894
92,9.247174,95,1388740,106.5156845
92,-17.049662,96,1388832,106.8978974
92,8.16514,97,1388924,108.1435779
92,-135.4472,98,1389016,106.0690935
92,56.323513,99,1389108,109.0290577
92,-117.92287,100,1389200,105.2731716
92,57.766605,101,1389292,107.9084173
92,63.66366,102,1389384,105.3029629
92,62.397007,103,1389476,108.6163148
