episode_length,episode_return,episodes,steps,steps_per_second
92,41.88788,1,92,116.4665980520284
92,24.611917,2,184,221.16607345303066
92,-5.5588703,3,276,221.29341583846124
92,31.653894,4,368,220.89741112032132
92,-99.693016,5,460,223.58953844050055
92,-77.17837,6,552,219.06299915298692
92,0.03948754,7,644,223.03770259749044
92,2.9511278,8,736,223.75406510900788
92,-6.004841,9,828,210.51400913684427
92,35.03366,10,920,225.14181959060028
92,-87.66881,11,1012,18.26438393245648
92,-0.14460555,12,1104,152.135537195296
92,-49.827854,13,1196,154.0773621143334
92,36.26786,14,1288,154.62115977499798
92,47.93702,15,1380,157.86651654981063
92,53.90273,16,1472,149.3508958321964
92,-138.68048,17,1564,158.70082106776647
92,55.560253,18,1656,154.3619952220407
92,40.17715,19,1748,152.99442818190937
92,58.937218,20,1840,153.19797078457015
92,61.158726,21,1932,160.4409836447277
92,60.61934,22,2024,149.8235582806841
92,-4.4059205,23,2116,158.45311873144198
92,59.255066,24,2208,146.62612303834024
92,-113.78036,25,2300,152.6653887710561
92,11.105694,26,2392,141.90247504508505
92,49.962475,27,2484,151.3176189538788
92,52.8893,28,2576,155.21967949303277
92,35.847935,29,2668,157.4646602648542
92,64.48367,30,2760,152.2383540663665
92,55.697777,31,2852,157.47629158802224
92,57.0802,32,2944,150.86091391674023
92,-145.2492,33,3036,132.53233162554383
92,-293.53122,34,3128,150.88557164128682
92,58.810623,35,3220,137.51860501334465
92,62.374996,36,3312,139.02684801210572
92,58.417213,37,3404,124.9979650528108
92,-310.43817,38,3496,113.0747547159417
92,-73.24077,39,3588,143.13082022146415
92,-235.74217,40,3680,141.39648923520585
92,-37.988773,41,3772,155.91962467053412
92,58.545517,42,3864,156.59667250914012
92,-100.98503,43,3956,146.99056939061205
92,1.3506851,44,4048,136.06835224680154
92,30.34118,45,4140,155.92989466095764
92,-135.61832,46,4232,149.3567343993968
92,60.978558,47,4324,154.96136888524072
92,-25.373138,48,4416,153.1103161276192
92,57.935192,49,4508,155.42011275204982
92,8.654274,50,4600,153.9393076727906
92,-105.17641,51,4692,141.96214573014623
92,59.976795,52,4784,150.22450131624947
92,55.594887,53,4876,145.9704016081576
92,60.19031,54,4968,148.25485902040427
92,15.986874,55,5060,157.88589445740578
92,9.310081,56,5152,145.25296179786108
92,57.094482,57,5244,160.39390107747852
92,29.806519,58,5336,153.75278089123196
92,55.28421,59,5428,152.43157848996827
92,29.737516,60,5520,154.24198593228678
92,-51.06748,61,5612,158.1584634188128
92,60.634533,62,5704,152.06197610913836
92,-195.4797,63,5796,154.23064252914037
92,-59.44877,64,5888,156.4338990141902
92,-127.82074,65,5980,151.54849795049213
92,59.7838,66,6072,156.74482108692385
92,35.306995,67,6164,152.20004409698024
92,58.289467,68,6256,146.37838608821792
92,56.949646,69,6348,156.76124981312603
92,22.821726,70,6440,152.51755325897622
92,58.194252,71,6532,154.3455716181655
92,-33.44401,72,6624,148.3962545975323
